,Date,Open,High,Low,Close,Adj Close,Volume
66,2021-11-06,0.2608,0.2676,0.25,0.2618,0.2618,1135857725
67,2021-11-07,0.2618,0.2698,0.2584,0.2664,0.2664,912146975
68,2021-11-08,0.2664,0.2973,0.2644,0.2819,0.2819,3420674489
69,2021-11-09,0.282,0.2905,0.2708,0.2736,0.2736,1854893482
70,2021-11-10,0.2737,0.2775,0.235,0.2553,0.2553,2600272877
71,2021-11-11,0.2553,0.2716,0.2529,0.2605,0.2605,1356541795
72,2021-11-12,0.2604,0.2686,0.2484,0.2593,0.2593,1227134455
73,2021-11-13,0.2594,0.2624,0.2542,0.2613,0.2613,730909452
74,2021-11-14,0.2612,0.2719,0.2597,0.2628,0.2628,1109308026
75,2021-11-15,0.2628,0.2654,0.2553,0.2566,0.2566,784663988
76,2021-11-16,0.2567,0.2567,0.2225,0.2365,0.2365,1931306150
77,2021-11-17,0.2364,0.2413,0.2293,0.2374,0.2374,1016537117
78,2021-11-18,0.2373,0.2413,0.215,0.2208,0.2208,1424059825
79,2021-11-19,0.2209,0.2369,0.2155,0.2329,0.2329,1011256982
80,2021-11-20,0.2328,0.2357,0.2249,0.233,0.233,638393250
81,2021-11-21,0.233,0.2334,0.225,0.2255,0.2255,584498069
82,2021-11-22,0.2256,0.2273,0.2163,0.2195,0.2195,715429215
83,2021-11-23,0.2194,0.2369,0.2132,0.2266,0.2266,1648276631
84,2021-11-24,0.2267,0.2304,0.2106,0.217,0.217,1150989995
85,2021-11-25,0.217,0.2289,0.2138,0.2209,0.2209,1097415948
86,2021-11-26,0.221,0.2217,0.186,0.2016,0.2016,2305030656
87,2021-11-27,0.2016,0.21,0.2005,0.2049,0.2049,908852823
88,2021-11-28,0.2049,0.2074,0.1907,0.2073,0.2073,858901257
89,2021-11-29,0.2072,0.227,0.2025,0.215,0.215,1857437869
90,2021-11-30,0.2149,0.2275,0.2125,0.2147,0.2147,1617695220
91,2021-12-01,0.2147,0.2189,0.2058,0.2093,0.2093,803902283
92,2021-12-02,0.2093,0.2233,0.2011,0.2095,0.2095,1689895075
93,2021-12-03,0.2095,0.2122,0.1902,0.1999,0.1999,1011968037
94,2021-12-04,0.1998,0.2004,0.131,0.1781,0.1781,5303849448
95,2021-12-05,0.1781,0.1812,0.1617,0.1712,0.1712,1381389600
96,2021-12-06,0.1712,0.1804,0.1591,0.1776,0.1776,1661970370
97,2021-12-07,0.1775,0.1839,0.1746,0.1762,0.1762,1069148248
98,2021-12-08,0.1762,0.1821,0.172,0.179,0.179,870067110
99,2021-12-09,0.1791,0.1833,0.1685,0.1691,0.1691,974195305
100,2021-12-10,0.1691,0.1748,0.1632,0.1641,0.1641,743981315
101,2021-12-11,0.1641,0.17,0.1612,0.1689,0.1689,654792769
102,2021-12-12,0.1689,0.1738,0.1656,0.1697,0.1697,499912432
103,2021-12-13,0.1696,0.1704,0.1514,0.1573,0.1573,972416861
104,2021-12-14,0.1574,0.2204,0.1549,0.1909,0.1909,7338444571
105,2021-12-15,0.1909,0.1912,0.1703,0.1808,0.1808,2177343912
106,2021-12-16,0.1808,0.1853,0.1723,0.1732,0.1732,1077785070
107,2021-12-17,0.1732,0.1766,0.1614,0.1685,0.1685,1033871332
108,2021-12-18,0.1684,0.1757,0.1659,0.1723,0.1723,594262965
109,2021-12-19,0.1723,0.1746,0.1691,0.1694,0.1694,479149291
110,2021-12-20,0.1695,0.1708,0.161,0.1671,0.1671,823398873
111,2021-12-21,0.1671,0.1724,0.1657,0.1707,0.1707,514233887
112,2021-12-22,0.1708,0.1799,0.1697,0.173,0.173,885691231
113,2021-12-23,0.173,0.1851,0.1712,0.185,0.185,1027458506
114,2021-12-24,0.1851,0.1955,0.1791,0.1862,0.1862,1245243107
115,2021-12-25,0.1862,0.1957,0.1847,0.1908,0.1908,883688963
116,2021-12-26,0.1908,0.1925,0.1849,0.1898,0.1898,537153520
117,2021-12-27,0.1898,0.1928,0.1863,0.1879,0.1879,613110414
118,2021-12-28,0.1879,0.188,0.1716,0.1739,0.1739,979781920
119,2021-12-29,0.1738,0.1773,0.1661,0.168,0.168,716005365
120,2021-12-30,0.168,0.1758,0.1651,0.1711,0.1711,524275170
121,2021-12-31,0.171,0.1758,0.1661,0.1703,0.1703,572705101
122,2022-01-01,0.1703,0.1737,0.1697,0.1732,0.1732,297504077
123,2022-01-02,0.1731,0.1763,0.1705,0.1745,0.1745,312955886
124,2022-01-03,0.1745,0.1745,0.1674,0.1703,0.1703,460985351
125,2022-01-04,0.1703,0.1726,0.1665,0.1684,0.1684,496439208
